,line,nuclear_cost,CO2,onwind_cost,offwind_cost,solar_cost,onwind_potential,solar_potential,nuclear_inv_NO,nuclear_cap_NO,nuclear_prod_NO,onwind_inv_NO,onwind_cap_NO,onwind_prod_NO,solar_inv_NO,solar_cap_NO,solar_prod_NO,offwind_inv_NO,offwind_cap_NO,offwind_NO,nuclear_inv_EU,nuclear_cap_EU,nuclear_prod_EU,onwind_inv_EU,onwind_cap_EU,onwind_prod_EU,solar_inv_EU,solar_cap_EU,solar_prod_EU,offwind_inv_EU,offwind_cap_EU,offwind_EU,offwind_prod_NO,offwind_prod_EU
elec_s_100_lc1.25__Co2L0.1-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-onwind+c1.3-offwind+c1.3_2050.nc,1.25,1.0,0.1,1.3,1.3,1.0,1.0,1,2547.690873606856,0.0036046824865028477,73.03194521515377,850661609.4445174,6154.717837444431,13045939.507576408,616920199.8701881,12854.92952782884,13786867.636495912,296109.5767239271,1.1144992098147044,3142.199699062868,1932749283.1499095,2734.6125717002933,69048052.85183513,141531714928.66718,1024012.0874908047,2705051472.163886,121297829524.15796,2527514.9861193527,3209664108.5788693,15736858526.052929,58252.501629671235,235232050.22628325,3142.199699062868,235232050.22628325
elec_s_100_lc1.25__Co2L0.05-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.8_2050.nc,1.25,0.8,0.05,1.0,1.0,1.0,1.0,1,4313.46195306018,0.007628800711004047,158.19756122728433,1729638765.077462,15812.081117047159,37504589.9623103,648582296.0042075,13514.68100718031,14387420.637808032,3571467.079817238,16.63967500139445,66613.9621389314,13116051084.416399,23197.084135023833,590732219.2761724,161017951179.7961,1472000.371847385,3835132048.0252714,111931764526.12999,2332351.810188254,3099188604.3959684,21094880368.844326,98734.38874515475,391407422.201237,66613.9621389314,391407422.201237
elec_s_100_lc1.5__Co2L0-2000SEG-T-H-B-I-A-dist1-EQ0.9c-nuclear+c0.5_2050.nc,1.5,0.5,0.0,1.0,1.0,1.0,1.0,1,883748603.8566197,2500.8003504626813,66048717.212071635,2687873166.654591,24572.106847740204,61680619.76100404,919421679.2256341,19158.23293724301,20422700.802350704,1840260.758723749,8.392206154090555,37659.1537583632,158472058547.9939,448438.59195466747,11712821213.404602,119260050542.72543,1090256.318995177,3144621328.7571335,51721034883.682076,1077724.896471232,1496640128.0945559,9786834543.950026,47590.214572162775,196861983.81025422,37659.1537583632,196861983.81025422
elec_s_100_lc1.25__Co2L0-2000SEG-T-H-B-I-A-solar+p3-onwind+p0.5-dist1-EQ0.9c-nuclear+c0.9_2050.nc,1.25,0.9,0.0,1.0,1.0,1.0,0.5,1,2492.679976374516,0.003918720607563227,73.20456435057334,1762081394.343407,16108.666448019681,38696658.12118075,765057170.8682811,15941.698810220969,16867409.52791625,284375806.23361,1265.7589494561446,5670490.617991468,15991527884.910192,25140.14252249289,631096845.7327135,151592146419.1272,1385831.171388657,3200964536.4183545,157405691359.5999,3279904.0623610714,4394628366.609454,53045028569.24139,252704.15265896465,1009095730.1652629,5670490.617991468,1009095730.1652629
elec_s_100_lc1.5__Co2L0.05-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.5_2050.nc,1.5,0.5,0.05,1.0,1.0,1.0,1.0,1,2456.1348945330415,0.006950283121497735,176.00733646681618,1163808362.344301,10639.35002015392,25077247.724235054,410435024.015675,8552.343253769994,9254163.135297554,226809.36358843968,1.1096114756231497,3134.1652003655695,108839708118.04811,307990.73290533933,8017057371.346789,109311275496.20349,999306.2077771195,2915801866.968412,54411398717.39304,1133784.7199197926,1667573154.7595563,5143737416.014299,25309.76026608859,100183658.05328567,3134.1652003655695,100183658.05328567
elec_s_100_lc1.5__Co2L0.05-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.7_2050.nc,1.5,0.7,0.05,1.0,1.0,1.0,1.0,1,4774.609740266139,0.00965072909686988,206.0524203322875,2160616691.169567,19752.012427918253,48249283.62984865,831202885.696479,17319.99458147836,18644763.72902258,1838813.635766217,8.385074890783487,36913.05846634514,42690024716.413895,86287.65199432307,2207350354.695701,145790217116.39175,1332790.8611096968,3578182411.2625184,95480174430.3817,1989545.671977718,2751644619.882571,18377483075.665005,87121.5672578617,354956777.2718328,36913.05846634514,354956777.2718328
elec_s_100_lc1.25__Co2L0-2000SEG-T-H-B-I-A-dist1-EQ0.9c-nuclear+c0.6_2050.nc,1.25,0.6,0.0,1.0,1.0,1.0,1.0,1,16308.763831493852,0.0384582996109132,942.2549845340054,3095172943.342879,28295.576301584206,70925548.35556905,1308884989.8135343,27273.583046277923,28711970.537965816,244574806.14327112,1052.2270296176532,4896807.217941733,101867321971.55771,240217.10225383023,6230252900.666856,161435091481.2115,1475813.8018053297,3955866113.8120565,80357094790.81517,1674422.0578518105,2197534485.2074523,23973231590.387993,113310.36525689013,482552001.74943954,4896807.217941733,482552001.74943954
elec_s_100_lc1.5__Co2L0.05-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c_2050.nc,1.5,1.0,0.05,1.0,1.0,1.0,1.0,1,1944.7697592465643,0.00275162012945148,49.73279543707882,2150787608.384072,19662.156524218346,47229103.55095426,774147887.3729434,16131.12447670019,17315730.453492757,3604612.0119431135,16.79719915825288,66467.01617636798,27733.164745709484,0.039239161347949254,900.36472719908,166911281311.59396,1525876.2538957102,3940982861.3908477,113262812170.67197,2360087.202338439,3126219145.569222,22679406903.96761,106284.82982546349,422766035.77960026,66467.01617636798,422766035.77960026
elec_s_100_lc1.25__Co2L0.15-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-solar+c1.3-nuclear+c0.7_2050.nc,1.25,0.7,0.15,1.0,1.0,1.3,1.0,1,4993.882667432629,0.01009393675853806,210.7451055614814,1241807926.514084,11352.409567990604,26838597.276131958,7641782.529710032,130.8572736891463,122906.21904532575,1839431.8702775603,8.38836880442996,37325.63160786555,73165719282.35411,147886.96341332173,3859896191.895615,128950348212.1651,1178843.4713481432,3160287071.82122,49971190614.36768,855702.6768785759,1173430706.7302065,19443781120.23694,90844.7074618424,369480690.97414047,37325.63160786555,369480690.97414047
elec_s_100_lc1.5__Co2L0.1-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.5_2050.nc,1.5,0.5,0.1,1.0,1.0,1.0,1.0,1,13690.370194064712,0.03874052239502662,972.4614558982726,946862697.6441607,8656.067431042487,19871552.556652132,318110520.4362277,6628.553130743857,7191032.253630257,228894.2571568477,1.1198855519453563,3160.353555637392,104100189575.81808,294579.01199318236,7685347322.772938,90974856591.624,831677.5971276681,2427956805.9949827,38803470727.4449,808558.192358483,1170113219.435396,5143747288.598554,25309.80949833438,101270570.95342298,3160.353555637392,101270570.95342298
elec_s_100_lc1.5__Co2L0.1-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-onwind+c1.3-offwind+c1.3-nuclear+c0.8_2050.nc,1.5,0.8,0.1,1.3,1.3,1.0,1.0,1,4715.916491130447,0.008340582917405352,177.24967283460546,792749771.6177678,5735.713362205171,11893446.334389774,669004927.7557951,13940.232791665074,15091931.960103763,296416.16260098293,1.1155890328221796,3147.870263624708,47602119611.65978,84189.24007921192,2198795263.2540464,124770566476.82231,902741.6102442917,2508747438.3746886,95598353774.04718,1992008.2062484138,2646651956.6001797,11181446396.257345,42085.119470052334,171371803.38532996,3147.870263624708,171371803.38532996
elec_s_100_lc1.5__Co2L0-2000SEG-T-H-B-I-A-solar+p3-onwind+p0.5-dist1-EQ0.9c-nuclear+c0.9_2050.nc,1.5,0.9,0.0,1.0,1.0,1.0,0.5,1,3368.0281418671148,0.005294847879182602,100.04069403746718,1721619930.455576,15738.774212700702,37924179.965792455,872414277.3187492,18178.727258994048,19317692.387596253,288600803.6141988,1288.5461368518195,5745994.823377578,5057605233.157523,7951.017394908548,202963886.45094624,158208489198.1174,1446316.7194880007,3318657132.7467847,159036242879.29617,3313880.2960483446,4423793987.543869,52736808603.36531,251346.7466628453,1004445209.1998866,5745994.823377578,1004445209.1998866
elec_s_100_lc1.25__Co2L0.05-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-onwind+c1.3-offwind+c1.3-nuclear+c0.6_2050.nc,1.25,0.6,0.05,1.3,1.3,1.0,1.0,1,9767.131691508195,0.02303223474276411,563.2314097850478,499342138.75618863,3612.846676361991,6178770.982916193,917796651.4461178,19124.371803192214,20459934.403557748,296101.57332514256,1.1145258555725324,3140.1302223387356,112253785126.79414,264709.80544390425,6884428040.186932,101098011231.2857,731465.6335104483,2168027165.877894,91286956130.09601,1902170.4721442272,2764418097.072036,6610696202.481161,24992.98362039816,99887279.20678337,3140.1302223387356,99887279.20678337
elec_s_100_lc1.25__Co2L0-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c_2050.nc,1.25,1.0,0.0,1.0,1.0,1.0,1.0,1,1017.4049423619335,0.0014395081504615208,25.686574060262597,2365487577.5412154,21624.909323637847,53596560.7473232,791855146.9266214,16500.095331830882,17416221.957705148,3605182.945026436,16.799775423558856,67628.81952818624,45013.26344908889,0.06368846554195737,1589.124122424143,188375068817.319,1722094.7684040787,4341334454.799948,142672332516.9509,2972901.1636550142,3931593053.240949,31353083858.035156,146398.6285072327,594269654.8094085,67628.81952818624,594269654.8094085
elec_s_100_lc1.25__Co2L0-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.7_2050.nc,1.25,0.7,0.0,1.0,1.0,1.0,1.0,1,4063.4285593911477,0.008213246812708576,176.07432825560693,2973631181.277438,27184.460940567464,68016956.1472981,983193053.1222073,20487.053937926354,21671101.070523623,1842778.6212252302,8.404328505265406,37544.6316617047,59921803479.745094,121117.5622380104,3101522545.042399,158116091830.34775,1445472.0375210643,3826512940.029084,121540659554.93797,2532574.899757412,3523963771.1809354,23660748226.68348,110526.11826140959,453837682.4257106,37544.6316617047,453837682.4257106
elec_s_100_lc1.25__Co2L0-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-solar+c1.3-nuclear+c0.8_2050.nc,1.25,0.8,0.0,1.0,1.0,1.3,1.0,1,4358.30757328598,0.0077081147986642565,166.0037213826104,3156315893.521364,28854.535378749937,71966688.31621261,719509929.8132614,12320.830570822987,13083526.791971695,389206917.5878382,1743.3949824723586,6989346.452673144,49794834916.23906,88067.28241658233,2272100254.8591137,191016702513.64563,1746244.1614052071,4464062162.6536255,118809185165.21439,2034478.9974727083,2855885906.3274717,38240004920.75893,177748.46650948847,724741646.6918565,6989346.452673144,724741646.6918565
elec_s_100_lc1.5__Co2L0.05-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.8_2050.nc,1.5,0.8,0.05,1.0,1.0,1.0,1.0,1,1874.5925002403912,0.0033154094679172953,66.3974687195451,2158041564.918258,19728.471035348637,47425977.90223774,763628914.6620884,15911.937857536726,17081003.141616102,3604145.07183083,16.794956738127755,66140.88723571305,6334920458.2132015,11203.957800412456,286920487.5426442,163732204112.53088,1496813.6382999686,3897479547.305186,110728946355.49182,2307288.369533208,3076415147.240635,22472524864.310917,105397.43327981883,416655277.95034194,66140.88723571305,416655277.95034194
elec_s_100_lc1.25__Co2L0.05-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-onwind+c1.3-offwind+c1.3-nuclear+c0.5_2050.nc,1.25,0.5,0.05,1.3,1.3,1.0,1.0,1,554920760.9218394,1570.2950220643327,41649686.11625528,442558449.6669834,3202.00459740483,5053968.9567695875,354081063.7302268,7378.080864183891,8046063.657392444,296425.0888783762,1.115822042216758,3142.043852971434,139158367703.8314,393785.39689327456,10254949781.627783,82070504497.54814,593797.5716207142,1761173937.4359598,64811011638.52792,1350484.2075456115,2014016191.3511913,6610696878.9009285,24992.986307061372,100797531.97324817,3142.043852971434,100797531.97324817
elec_s_100_lc1.5__Co2L0.1-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.7_2050.nc,1.5,0.7,0.1,1.0,1.0,1.0,1.0,1,2679.327104535517,0.005415617496380284,110.01857677483262,1060815666.2139325,9697.80725494893,22471752.897754353,230808008.4884888,4809.407576867092,5237699.736000693,231981.84261523216,1.133927160854087,3222.0461289790064,43157439711.899925,87232.41936645155,2238260200.826575,129017467341.19955,1179457.0636971507,3157069924.8976316,68988430794.93744,1437530.1964354971,1922133299.501978,16397193146.730549,78076.64671949258,313749344.843748,3222.0461289790064,313749344.843748
elec_s_100_lc1.25__Co2L0.05-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-onwind+c1.3-offwind+c1.3-nuclear+c0.8_2050.nc,1.25,0.8,0.05,1.3,1.3,1.0,1.0,1,4940.200867925825,0.008737252885005226,185.26516456831985,865266078.0149475,6260.3842766240705,13289382.035712931,602969156.7066245,12564.227948037731,13416209.731906015,297224.6811119708,1.1187195861483832,3155.351457960754,55540936665.35694,98229.85382354067,2528131087.4548855,138223164793.9146,1000074.02292511,2792044714.5112925,127932610998.52504,2665765.6841893457,3644639855.521772,11181452192.554976,42085.14162486325,173135629.25175434,3155.351457960754,173135629.25175434
elec_s_100_lc1.5__Co2L0-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.8_2050.nc,1.5,0.8,0.0,1.0,1.0,1.0,1.0,1,2957.755622458812,0.005231094754314898,102.80054517997513,3095172922.8245726,28295.576114009134,70775219.18331572,1094960427.2457895,22815.980301776086,24194132.59411231,3606878.157690051,16.80786365942,67537.17196358228,10180156382.455437,18004.652665015612,458451091.81597096,182855186912.3951,1671632.8903521781,4271465339.4046297,136682290230.04253,2848085.0667220163,3832067388.0224695,31259707188.826073,145968.39990081865,595991511.2893379,67537.17196358228,595991511.2893379
elec_s_100_lc1.25__Co2L0.1-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-onwind+c1.3-offwind+c1.3-nuclear+c0.7_2050.nc,1.25,0.7,0.1,1.3,1.3,1.0,1.0,1,3345.4140006672837,0.006761952493213822,147.40120019675913,625552330.6164931,4526.004282730453,8678948.967230663,808724102.4795213,16851.5982245652,18070205.51358518,295854.937777728,1.1135442516805034,3140.1340402541673,84512671901.45615,170822.10822284667,4414784660.2234125,104073891074.80629,752996.7576985584,2168233869.724219,79541931730.12572,1657436.2893503788,2309879954.337441,6686865454.5997925,25309.78662832955,101042441.09711051,3140.1340402541673,101042441.09711051
elec_s_100_lc1.5__Co2L0.1-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-solar+c1.3-nuclear+c0.8_2050.nc,1.5,0.8,0.1,1.0,1.0,1.3,1.0,1,1575.6845635519257,0.002786760066404445,55.18814623551104,1690788922.3797932,15456.922065039811,36160119.91838909,7641801.941212688,130.8576060901674,122770.07169617742,1839970.7899382932,8.390478172912125,36531.80594385946,30882044461.467167,54618.06903797035,1414927409.345211,156438847322.49704,1430138.9363286484,3723766141.5001397,64793009094.33911,1109510.3127101164,1454913435.0668955,21520249674.998444,100856.63302433497,398277722.7447907,36531.80594385946,398277722.7447907
elec_s_100_lc1.25__Co2L0.1-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-solar+c1.3-nuclear+c0.8_2050.nc,1.25,0.8,0.1,1.0,1.0,1.3,1.0,1,460.33614442109376,0.0008141517750884648,16.527501409014523,1655204990.1646972,15131.619444626233,35543216.54655601,112606423.77901766,1928.2634069103824,2087883.8366487152,3602384.8813260156,16.78606351258381,67275.83585150089,44118422558.00617,78027.9638586159,2015316889.4796488,149468019865.18768,1366412.7459625464,3588366615.5681753,61265866715.08686,1049111.8083208643,1382185425.2834103,21568118357.309288,100952.257210493,398755967.6837201,67275.83585150089,398755967.6837201
elec_s_100_lc1.25__Co2L0-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-solar+c1.3_2050.nc,1.25,1.0,0.0,1.0,1.0,1.3,1.0,1,396.0408466532171,0.0005603511472526124,10.848027075162113,3214954406.2003894,29390.59928861624,72606768.62836786,579907510.4220246,9930.28989122068,10549296.126286967,389196477.5020629,1743.342877419747,7253321.229214163,866902887.4985697,1226.5654708888596,31695107.46125181,210445037797.25192,1923854.8970548632,4777871962.986375,143834449459.26346,2463009.6244747126,3321685864.380443,39550912769.530655,184761.42907021745,748942671.1555719,7253321.229214163,748942671.1555719
elec_s_100_lc1.25__Co2L0-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-onwind+c1.3-offwind+c1.3-nuclear+c0.6_2050.nc,1.25,0.6,0.0,1.3,1.3,1.0,1.0,1,22177.72778040456,0.052298120720897436,1291.2829310233492,632781913.0741632,4578.311850881499,8821598.122054843,907436559.4152738,18908.495822820125,20162348.643385574,297263.99056642567,1.1189879210361784,3150.4031940386994,129030083495.67392,304270.61555181263,7878065692.721656,127539702318.23236,922776.897564431,2741812086.9506364,108746140659.1077,2265972.1223107,3257657155.6698284,6610701439.620475,24993.003797963574,100450890.57074597,3150.4031940386994,100450890.57074597
elec_s_100_lc1.5__Co2L0-2000SEG-T-H-B-I-A-solar+p3-onwind+p0.5-dist1-EQ0.9c-nuclear+c0.7_2050.nc,1.5,0.7,0.0,1.0,1.0,1.0,0.5,1,7173.029100684534,0.014498558923228764,321.8432323690723,1710036216.8762085,15632.877754751351,37821808.65505837,1198567436.383227,24974.86698003873,26607730.605773848,288589980.02556664,1288.4934450987125,5753650.368091167,54165453644.44121,109482.48086605454,2808433171.550547,140935443579.37003,1288409.2974432257,3046891603.816608,132047032295.00262,2751498.9699938083,3864324299.426634,47647689220.02421,225192.8513473615,918316592.9624857,5753650.368091167,918316592.9624857
elec_s_100_lc1.5__Co2L0.1-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-solar+c1.3_2050.nc,1.5,1.0,0.1,1.0,1.0,1.3,1.0,1,1701.9943860589203,0.002408121573582831,43.055086627283956,1770792372.5163407,16188.300818074451,37599579.39186311,7641757.7725213505,130.8568497490247,122734.57391552164,3604583.175893825,16.796964758098568,66330.11422920038,470786191.1896377,666.1070053079544,17528738.849854004,170365533734.81735,1557454.4774054722,3943412991.426607,80241106322.01088,1374042.2957963576,1729680387.3352919,22632275520.846844,106116.8207262041,412233056.77178866,66330.11422920038,412233056.77178866
elec_s_100_lc1.5__Co2L0.05-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-onwind+c1.3-offwind+c1.3-nuclear+c0.9_2050.nc,1.5,0.9,0.05,1.3,1.3,1.0,1.0,1,919.9686921563492,0.0014462748152330096,28.05571944137486,936456648.2080661,6775.463207377211,14592195.168399435,550582483.7000743,11472.632973779606,12426424.361897647,295147.6287253249,1.1107854805891224,3133.8414295066077,5410287112.405798,8505.465523518496,217346493.9315415,166487448497.7467,1204572.1325649244,3231106795.5632496,144855189114.47092,3018385.924465862,3974754211.6889653,13509453785.96484,50538.98293797956,206023847.07627988,3133.8414295066077,206023847.07627988
elec_s_100_lc1.25__Co2L0-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.5_2050.nc,1.25,0.5,0.0,1.0,1.0,1.0,1.0,1,69609.95723205702,0.1969797798626718,5131.154740047691,1962709743.1357665,17942.778743335835,44636255.85891176,617545079.315651,12867.950306264209,13802090.945046434,235096.99853850508,1.148118326667522,3289.4342899719854,132505817417.62172,374960.24682840065,9769394780.700502,117479293093.63162,1073976.9190398948,3089903463.558153,73260289396.34247,1526544.045042604,2258109018.7971797,8098935484.230879,39513.08979199764,162751962.1930142,3289.4342899719854,162751962.1930142
elec_s_100_lc1.5__Co2L0-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-onwind+c1.3-offwind+c1.3-nuclear+c0.5_2050.nc,1.5,0.5,0.0,1.3,1.3,1.0,1.0,1,801724725.8963856,2268.6920994803227,60208220.63938165,442558438.6123783,3202.004517422408,5053976.439979909,302095923.6716752,6294.8527382648335,6861814.839551077,295895.13343066076,1.1137420486577916,3136.365661151751,168411952355.62933,476566.14973435656,12389451734.687143,92923564734.58977,672321.7728896511,2003799339.6437087,82082193562.56143,1710368.3976604412,2536317463.42954,6610695220.241236,24992.9798771267,100929754.86410466,3136.365661151751,100929754.86410466
elec_s_100_lc1.25__Co2L0.1-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-onwind+c1.3-offwind+c1.3-nuclear+c0.8_2050.nc,1.25,0.8,0.1,1.3,1.3,1.0,1.0,1,579.3029439055794,0.0010245567848855817,20.60405525222913,789047284.1592613,5708.925077238761,11875271.039915882,669800131.5411365,13956.802663462071,14921027.608202673,294705.936363239,1.109127852500653,3131.26501308093,53530154709.62637,94673.57930889737,2457904519.945373,118783929796.91475,859427.0193998939,2388452225.3985186,96994262126.07701,2021095.1181317125,2706275470.434754,11181439729.376245,42085.09406666762,171488874.00127637,3131.26501308093,171488874.00127637
elec_s_100_lc1.25__Co2L0.05-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.7_2050.nc,1.25,0.7,0.05,1.0,1.0,1.0,1.0,1,3290.80005724686,0.006651563497770414,135.06482465594274,1717972285.6668434,15705.428027098167,37959431.51107194,713431803.1451432,14865.967355700868,15867381.732149828,1839988.9689156897,8.391004015361519,37287.094418161054,51375849075.09822,103843.96390851596,2661323928.0604353,141656279423.5504,1294999.0635090582,3493610199.5540185,95250339834.73558,1984756.5476619483,2742599126.467134,17067274997.455803,80438.65018333058,325377244.9583179,37287.094418161054,325377244.9583179
elec_s_100_lc1.25__Co2L0-2000SEG-T-H-B-I-A-solar+p3-onwind+p0.5-dist1-EQ0.9c-nuclear+c0.6_2050.nc,1.25,0.6,0.0,1.0,1.0,1.0,0.5,1,16118.16543101409,0.03800884246831503,925.2838350105454,1710036400.287928,15632.879431471969,37829461.6893425,1036283200.2636714,21593.30738897105,23051117.74822451,244583138.66806707,1052.2632141479407,4896208.404728968,103418061808.28839,243873.9592587983,6310490812.815738,115068518687.9013,1051938.004771804,2588228447.6526365,111618039131.60594,2325814.631087058,3353777358.9134307,34592150439.71921,162256.53453583294,686922831.1594105,4896208.404728968,686922831.1594105
elec_s_100_lc1.25__Co2L0.05-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-onwind+c1.3-offwind+c1.3_2050.nc,1.25,1.0,0.05,1.3,1.3,1.0,1.0,1,3531.9430619220407,0.004997283395144068,95.29754780402908,904737129.231353,6545.965734970273,14033134.945205165,568755746.7184646,11851.31406647403,12706032.174564708,297384.8051355654,1.119414673550596,3152.225746963605,2319357636.081277,3281.6178514163703,82918507.24624358,162014942234.8439,1172212.597623239,3125119855.568508,151616175246.17953,3159266.382392237,4131053633.7819285,16408195463.710524,60538.30405321636,246598804.30062145,3152.225746963605,246598804.30062145
elec_s_100_lc1.25__Co2L0.05-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-solar+c1.3-nuclear+c0.5_2050.nc,1.25,0.5,0.05,1.0,1.0,1.3,1.0,1,634137647.1560063,1794.4601477487722,47424321.88096415,2006466956.4276493,18342.800192899147,45677380.67727553,7641755.200409773,130.8568057043915,122926.35786222052,236976.19187273024,1.1567109442088437,3326.396457745505,136913463569.1866,387432.8470593339,10158990780.502268,110728585313.3794,1012263.0275765237,2968167754.5003,31819343743.63815,544871.9008532526,781774651.9828408,5818452128.920508,28555.19833858248,114555555.42100653,3326.396457745505,114555555.42100653
elec_s_100_lc1.5__Co2L0-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-onwind+c1.3-offwind+c1.3-nuclear+c0.9_2050.nc,1.5,0.9,0.0,1.3,1.3,1.0,1.0,1,2973.1153052775567,0.004674008828200378,96.84697604741139,1911893277.9239037,13832.954879217272,33332395.75426487,1035383861.5928823,21574.567630997368,23013733.179281265,295904.8004949571,1.113668965831908,3141.1132279501735,16531996096.304758,25989.807917890015,654793477.126848,192445593704.82224,1392384.839238365,3727210073.082826,167569973556.24213,3491699.9013793007,4629676247.251671,14809535182.528288,55091.990882922764,226075185.3437085,3141.1132279501735,226075185.3437085
elec_s_100_lc1.5__Co2L0-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.5_2050.nc,1.5,0.5,0.0,1.0,1.0,1.0,1.0,1,43949.5805167479,0.12436695897377938,3241.183125133556,1961735238.2471733,17933.86997541359,44613193.849655256,617734571.6108631,12871.898807385634,13806198.73176483,231407.06704443868,1.1311528600472442,3216.0621477691457,132470933865.21857,374861.53459316253,9766766194.510912,117483992434.39032,1074019.879661947,3088934436.7503014,73288664874.7102,1527135.312397462,2258857354.359367,8098930105.497332,39513.064517357285,163773910.09165367,3216.0621477691457,163773910.09165367
elec_s_100_lc1.25__Co2L0-2000SEG-T-H-B-I-A-dist1-EQ0.9c_2050.nc,1.25,1.0,0.0,1.0,1.0,1.0,1.0,1,2705.273793574092,0.003827643756122536,70.67148960452333,3171213594.7817707,28990.727782356553,72051890.2568421,1444263263.5674353,30094.49597646193,31521064.219575748,246382119.2028323,1060.8327775652529,4723653.138321934,6341357042.051612,8972.273248278061,237370645.7644731,219696701873.127,2008432.131208642,4962162357.788632,120195001780.72752,2504535.0724674473,3057653554.5996213,37608886514.16023,174892.2700288054,711907491.8288717,4723653.138321934,711907491.8288717
elec_s_100_lc1.5__Co2L0.1-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.6_2050.nc,1.5,0.6,0.1,1.0,1.0,1.0,1.0,1,3984.1754757035287,0.009395231651534915,205.06454785754582,963217529.893955,8805.580693239674,20278387.66645613,313526862.33891726,6533.0422334949335,7120320.16676634,229645.24191553553,1.123016573328436,3181.523762147326,75620406625.29163,178323.27972512934,4595346781.80213,111362077242.10938,1018054.3095287553,2836313289.0899286,53067457104.53801,1105780.6527383274,1542962491.1175237,9285269149.672182,45339.91871987432,184529255.36735308,3181.523762147326,184529255.36735308
