,line,nuclear_cost,CO2,onwind_cost,offwind_cost,solar_cost,onwind_potential,solar_potential,nuclear_inv_NO,nuclear_cap_NO,nuclear_prod_NO,onwind_inv_NO,onwind_cap_NO,onwind_prod_NO,solar_inv_NO,solar_cap_NO,solar_prod_NO,offwind_inv_NO,offwind_cap_NO,offwind_NO,nuclear_inv_EU,nuclear_cap_EU,nuclear_prod_EU,onwind_inv_EU,onwind_cap_EU,onwind_prod_EU,solar_inv_EU,solar_cap_EU,solar_prod_EU,offwind_inv_EU,offwind_cap_EU,offwind_EU,offwind_prod_NO,offwind_prod_EU
elec_s_100_lc1.5__Co2L0.05-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-solar+c1.3-nuclear+c0.7_2050.nc,1.5,0.7,0.05,1.0,1.0,1.3,1.0,1,1905.9092937196147,0.0038523387831629037,85.35306943701117,3095172787.5816064,28295.57487763955,69624649.71966259,552906365.9169679,9467.924449299046,10330707.11180096,3605445.5320231863,16.80054593385988,66586.34083447623,66660513168.46936,134738.24857806406,3491010733.7923317,154103407818.096,1408788.721686638,3756061865.457653,74296836207.79335,1272253.0891296908,1850056646.319727,26039419987.664112,122314.92019315803,506215820.3306694,66586.34083447623,506215820.3306694
elec_s_100_lc1.25__Co2L0-2000SEG-T-H-B-I-A-dist1-EQ0.9c-nuclear+c0.8_2050.nc,1.25,0.8,0.0,1.0,1.0,1.0,1.0,1,3515.8069769826016,0.006218065919586808,131.37754820353948,3101387249.1961703,28352.38649237221,70608446.08196647,1454721378.2208977,30312.414480171974,31765827.88896368,246356190.0673578,1060.7098201047565,4914294.094330865,28579104201.70669,50545.08254075631,1270997821.823628,205970990937.90695,1882953.8758186377,4751191121.630619,112700227633.78107,2348364.479404905,2899122113.0227237,37447881654.691376,173971.37606189318,720555013.9439709,4914294.094330865,720555013.9439709
elec_s_100_lc1.5__Co2L0-2000SEG-T-H-B-I-A-dist1-EQ0.9c-nuclear+c0.7_2050.nc,1.5,0.7,0.0,1.0,1.0,1.0,1.0,1,5693.717319555929,0.011508484754636204,259.3891464893576,3095172916.2967377,28295.57605433271,70770369.79987332,1510300870.8620725,31470.53908242219,32962322.207764022,246349778.84826386,1060.6788458920141,4923672.962718637,48447623101.18673,97925.25700974806,2490170485.187585,194506846795.6264,1778150.5025506115,4577189158.110999,100933730983.35811,2103182.8736438206,2652428175.2765255,35212742641.42102,163442.75007823674,684065641.4712964,4923672.962718637,684065641.4712964
elec_s_100_lc1.25__Co2L0-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-onwind+c1.3-offwind+c1.3_2050.nc,1.25,1.0,0.0,1.3,1.3,1.0,1.0,1,5325.851413278312,0.0075354524028189845,147.872449296669,1152848309.7860472,8341.102945437005,18676916.023428537,795883451.5506251,16584.034181732528,17550550.167046897,298168.30466219614,1.1221334709852377,3165.9498115088063,4450532326.986362,6296.97900200514,159313397.5626412,195345736134.428,1413367.9871134402,3746366379.9634633,174106712163.27164,3627907.654266762,4753669342.256855,17682509281.105564,64334.11691251123,264339695.09996483,3165.9498115088063,264339695.09996483
elec_s_100_lc1.5__Co2L0.15-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.6_2050.nc,1.5,0.6,0.15,1.0,1.0,1.0,1.0,1,1948.0691398313534,0.004593813940559446,101.17602396544412,938843059.271752,8582.753178937228,19759220.678047627,314520293.3782336,6553.742619061588,7144565.980667006,227921.5690269139,1.1150716181245668,3147.960829222605,79355325480.09691,187130.73011343952,4845329346.080986,104744159952.42355,957554.3675043089,2670633730.2159147,53925628825.69464,1123662.6040840042,1553852240.2596912,9285265653.869354,45339.90233822784,185083572.12897068,3147.960829222605,185083572.12897068
elec_s_100_lc1.5__Co2L0.05-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-solar+c1.3-nuclear+c0.9_2050.nc,1.5,0.9,0.05,1.0,1.0,1.3,1.0,1,3349.579702910155,0.005265845248037324,100.95883236475629,3095172961.5199275,28295.576467755876,70105055.79436657,584850703.5554498,10014.936735624337,10859033.568644209,3618697.5757316565,16.863998645224747,67662.29052722253,5398597626.08375,8487.088583287015,221328956.3529558,181568325476.9629,1659868.6088072152,4220585377.9155526,104192790221.5142,1784189.0178690874,2393307683.9334702,35921514717.79802,167311.86677767444,683685481.013622,67662.29052722253,683685481.013622
elec_s_100_lc1.25__Co2L0.1-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-solar+c1.3-nuclear+c0.7_2050.nc,1.25,0.7,0.1,1.0,1.0,1.3,1.0,1,1705.5701921299076,0.003447401311384364,71.02721305523998,1544963785.549923,14123.811973491218,33754457.07447567,7641779.783756923,130.8572266676646,122862.48012958486,1837850.124318809,8.380282343398642,37271.184325361755,73125092764.19373,147804.8466451997,3830298945.0436363,136358039357.95537,1246563.3997240674,3372706829.5275736,45047661531.85456,771392.5581121709,1061762419.8305272,18217222964.892113,85252.91046769863,346049064.32463884,37271.184325361755,346049064.32463884
elec_s_100_lc1.25__Co2L0.15-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.6_2050.nc,1.25,0.6,0.15,1.0,1.0,1.0,1.0,1,1683.1977514334615,0.003969210916160163,87.38909132945624,920948907.5631428,8419.167704299349,19310944.9503662,328478506.36934733,6844.593598447488,7458123.868084261,227399.448948975,1.112498234238311,3142.274700932019,80875374077.57175,190715.2129711744,4940461635.398483,104201983258.42358,952597.8748317391,2655035060.100466,53452655256.98993,1113807.128618127,1539090682.5971458,9285261162.128357,45339.88011867528,184593542.9118506,3142.274700932019,184593542.9118506
elec_s_100_lc1.25__Co2L0-2000SEG-T-H-B-I-A-dist1-EQ0.9c-nuclear+c0.7_2050.nc,1.25,0.7,0.0,1.0,1.0,1.0,1.0,1,5561.574805727451,0.011241390338021757,252.54760761140767,3095172383.0150523,28295.571179156774,70797805.44038844,1408754059.2375042,29354.581285150824,30804632.183240592,246349292.8349592,1060.6766086338885,4792433.991067972,60809184761.25444,122911.19078973417,3141778445.072662,186267697049.1605,1702829.5125514183,4412414046.374796,99235350507.81593,2067793.2700465822,2610991700.773113,35176606961.9882,163296.14266949592,679020804.4435581,4792433.991067972,679020804.4435581
elec_s_100_lc1.25__Co2L0.05-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c_2050.nc,1.25,1.0,0.05,1.0,1.0,1.0,1.0,1,1934.439848660864,0.002737004522761844,48.44470990093752,1737196597.4574826,15881.173612587154,37829856.809357785,649707420.3275195,13538.125520569987,14391900.554999737,3604804.054712872,16.798184254312623,66594.08640520257,319332186.34388924,451.817428643076,11820074.966969792,167783778542.65805,1533852.4841181913,3942738587.7280917,116949789250.08824,2436913.7198306345,3201146363.8747416,21430592929.020256,100155.4049469359,395592875.1052401,66594.08640520257,395592875.1052401
